Id,Name,Type,Phone,BillingGeocodeAccuracy,BillingCity,BillingCountry,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet
0011F00000zEhc7QAC,LES PHARMACIENS ASSOCIES,Customer,0147093894,,Ville-d'Avray,,,,92410,,48 Rue de Sèvres
0011F00000zEhc8QAC,PHARMABEST,Customer,0491039090,,Marseille,,,,13008,,348 Avenue du Prado
0011F00000zEhc9QAC,PHARMACIE HEROLD,Customer,0147884080,,COURBEVOIE,France,,,92400,,4 BOULEVARD SAINT DENIS
0011F00000zEhjGQAS,PHARMACIE TREVILLY,Customer,0143330642,,COURBEVOIE,France,,,92400,,77 B RUE DE BEZONS
0011F00000zEhjHQAS,PHARMACIE LE BOURHIS,Customer,0142040997,,NANTERRE,France,,,92000,,123 RUE DE SURESNES
0011F00000zEhjIQAS,PHARMACIE DES ECOLES,Customer,0147211742,,NANTERRE,France,,,92000,,15 RUE DE COURBEVOIE
0011F00000zEhjJQAS,PHARMACIE OULIE CORDELIER,Customer,0147211673,,NANTERRE,France,,,92000,,19 RUE HENRI BARBUSSE
0011F00000zEhjKQAS,PHARMACIE SANTE SERVICE,Customer,0142041748,,NANTERRE,France,,,92000,,242 AVENUE GEORGES CLEMENCEAU
0011F00000zEhjLQAS,PHARMACIE AMANDIERS,Customer,0147213294,,NANTERRE,France,,,92000,,25 RUE SADI CARNOT
0011F00000zEhjMQAS,PHARMACIE CENTRALE,Customer,0147211197,,NANTERRE,France,,,92000,,31 RUE MAURICE THOREZ
